review_yearmonth,price,date,trend
2011-03,55.0,2011-03-01,
2011-04,250.0,2011-04-01,
2011-05,249.0,2011-05-01,184.66666666666666
2011-09,115.0,2011-09-01,204.66666666666666
2011-12,199.5,2011-12-01,187.83333333333334
2012-01,162.5,2012-01-01,159.0
2012-05,65.0,2012-05-01,142.33333333333334
2012-06,137.5,2012-06-01,121.66666666666667
2012-07,107.5,2012-07-01,103.33333333333333
2012-08,186.66666666666666,2012-08-01,143.88888888888889
2012-09,240.71428571428572,2012-09-01,178.2936507936508
2012-10,200.0,2012-10-01,209.12698412698413
2012-11,71.66666666666667,2012-11-01,170.7936507936508
2012-12,103.25,2012-12-01,124.97222222222221
2013-01,173.4,2013-01-01,116.10555555555557
2013-03,211.5,2013-03-01,162.71666666666667
2013-04,201.25,2013-04-01,195.38333333333333
2013-05,157.0,2013-05-01,189.91666666666666
2013-06,147.25,2013-06-01,168.5
2013-07,148.33333333333334,2013-07-01,150.86111111111111
2013-08,87.5,2013-08-01,127.69444444444446
2013-09,681.6666666666666,2013-09-01,305.8333333333333
2013-10,247.5,2013-10-01,338.88888888888886
2013-11,89.8,2013-11-01,339.6555555555555
2013-12,119.5,2013-12-01,152.26666666666668
2014-01,153.63636363636363,2014-01-01,120.97878787878788
2014-02,47.5,2014-02-01,106.87878787878788
2014-03,45.0,2014-03-01,82.04545454545455
2014-04,117.8125,2014-04-01,70.10416666666667
2014-05,180.76923076923077,2014-05-01,114.52724358974359
2014-06,199.75,2014-06-01,166.11057692307693
2014-07,156.44444444444446,2014-07-01,178.98789173789177
2014-08,165.97368421052633,2014-08-01,174.05604288499026
2014-09,186.13333333333333,2014-09-01,169.51715399610137
2014-10,164.34375,2014-10-01,172.15025584795322
2014-11,130.53333333333333,2014-11-01,160.33680555555554
2014-12,138.86666666666667,2014-12-01,144.58124999999998
2015-01,320.3448275862069,2015-01-01,196.58160919540228
2015-02,519.5625,2015-02-01,326.25799808429116
2015-03,138.2608695652174,2015-03-01,326.0560657171414
2015-04,146.62962962962962,2015-04-01,268.1509997316156
2015-05,138.1917808219178,2015-05-01,141.0274266722549
2015-06,143.9111111111111,2015-06-01,142.91084052088615
2015-07,121.79439252336448,2015-07-01,134.63242815213107
2015-08,136.90049751243782,2015-08-01,134.20200038230442
2015-09,136.90232558139536,2015-09-01,131.86573853906586
2015-10,171.67410714285714,2015-10-01,148.49231007889674
2015-11,134.44520547945206,2015-11-01,147.6738794012348
2015-12,158.906103286385,2015-12-01,155.00847196956468
2016-01,191.07471264367817,2016-01-01,161.47534046983836
2016-02,246.54054054054055,2016-02-01,198.84045215686785
2016-03,115.5,2016-03-01,184.37175106140617
2016-04,121.15503875968992,2016-04-01,161.06519310007678
2016-05,136.5084745762712,2016-05-01,124.38783777865366
2016-06,121.32793522267207,2016-06-01,126.3304828528777
2016-07,126.64666666666666,2016-07-01,128.16102548853658
2016-08,133.95977011494253,2016-08-01,127.31145733476039
2016-09,166.93040293040292,2016-09-01,142.512279904004
2016-10,156.9206349206349,2016-10-01,152.60360265532677
2016-11,147.24157303370785,2016-11-01,157.0308702949152
2016-12,194.72395833333334,2016-12-01,166.29538876255867
2017-01,147.9943661971831,2017-01-01,163.31996585474138
2017-02,136.72727272727272,2017-02-01,159.81519908592966
2017-03,129.63366336633663,2017-03-01,138.11843409693077
2017-04,158.2085889570552,2017-04-01,141.52317501688813
2017-05,126.07326007326007,2017-05-01,137.97183746555058
2017-06,125.89473684210526,2017-06-01,136.72552862414014
2017-07,155.51929824561404,2017-07-01,135.82909838699308
2017-08,112.20413436692506,2017-08-01,131.2060564848814
2017-09,133.49725274725276,2017-09-01,133.7402284532639
2017-10,123.56603773584905,2017-10-01,123.08914161667558
2017-11,134.58964143426294,2017-11-01,130.55097730578822
2017-12,148.81218274111674,2017-12-01,135.65595397040954
2018-01,134.7518115942029,2018-01-01,139.3845452565275
2018-02,111.1830985915493,2018-02-01,131.58236430895627
2018-03,156.31578947368422,2018-03-01,134.08356655314543
2018-04,119.43769968051119,2018-04-01,128.97886258191485
2018-05,130.0648379052369,2018-05-01,135.2727756864774
2018-06,131.86387434554973,2018-06-01,127.12213731043256
2018-07,127.77865612648222,2018-07-01,129.90245612575623
2018-08,139.04941860465115,2018-08-01,132.89731635889433
2018-09,145.26141732283463,2018-09-01,137.3631640179893
2018-10,134.30112044817926,2018-10-01,139.5373187918883
2018-11,139.60535714285714,2018-11-01,139.72263163795697
2018-12,160.01162790697674,2018-12-01,144.63936849933768
2019-01,140.55625,2019-01-01,146.7244116832779
2019-02,145.6127659574468,2019-02-01,148.72688128814113
2019-03,136.2439024390244,2019-03-01,140.80430613215705
2019-04,143.21153846153845,2019-04-01,141.68940228600317
2019-05,139.60189445196212,2019-05-01,139.68577845084164
2019-06,141.66965703397904,2019-06-01,141.4943633158265
2019-07,144.4878306878307,2019-07-01,141.91979405792392
