review_yearmonth,review_count,date,trend
2011-03,1,2011-03-01,
2011-04,1,2011-04-01,
2011-05,1,2011-05-01,1.0
2011-09,2,2011-09-01,1.3333333333333333
2011-12,2,2011-12-01,1.6666666666666667
2012-01,2,2012-01-01,2.0
2012-05,1,2012-05-01,1.6666666666666667
2012-06,2,2012-06-01,1.6666666666666667
2012-07,2,2012-07-01,1.6666666666666667
2012-08,3,2012-08-01,2.3333333333333335
2012-09,7,2012-09-01,4.0
2012-10,1,2012-10-01,3.6666666666666665
2012-11,3,2012-11-01,3.6666666666666665
2012-12,4,2012-12-01,2.6666666666666665
2013-01,5,2013-01-01,4.0
2013-03,2,2013-03-01,3.6666666666666665
2013-04,4,2013-04-01,3.6666666666666665
2013-05,6,2013-05-01,4.0
2013-06,4,2013-06-01,4.666666666666667
2013-07,3,2013-07-01,4.333333333333333
2013-08,2,2013-08-01,3.0
2013-09,9,2013-09-01,4.666666666666667
2013-10,4,2013-10-01,5.0
2013-11,5,2013-11-01,6.0
2013-12,4,2013-12-01,4.333333333333333
2014-01,11,2014-01-01,6.666666666666667
2014-02,2,2014-02-01,5.666666666666667
2014-03,2,2014-03-01,5.0
2014-04,16,2014-04-01,6.666666666666667
2014-05,13,2014-05-01,10.333333333333334
2014-06,16,2014-06-01,15.0
2014-07,9,2014-07-01,12.666666666666666
2014-08,38,2014-08-01,21.0
2014-09,30,2014-09-01,25.666666666666668
2014-10,32,2014-10-01,33.333333333333336
2014-11,15,2014-11-01,25.666666666666668
2014-12,15,2014-12-01,20.666666666666668
2015-01,58,2015-01-01,29.333333333333332
2015-02,16,2015-02-01,29.666666666666668
2015-03,23,2015-03-01,32.333333333333336
2015-04,27,2015-04-01,22.0
2015-05,73,2015-05-01,41.0
2015-06,90,2015-06-01,63.333333333333336
2015-07,107,2015-07-01,90.0
2015-08,201,2015-08-01,132.66666666666666
2015-09,215,2015-09-01,174.33333333333334
2015-10,224,2015-10-01,213.33333333333334
2015-11,146,2015-11-01,195.0
2015-12,213,2015-12-01,194.33333333333334
2016-01,348,2016-01-01,235.66666666666666
2016-02,74,2016-02-01,211.66666666666666
2016-03,130,2016-03-01,184.0
2016-04,129,2016-04-01,111.0
2016-05,236,2016-05-01,165.0
2016-06,247,2016-06-01,204.0
2016-07,300,2016-07-01,261.0
2016-08,348,2016-08-01,298.3333333333333
2016-09,273,2016-09-01,307.0
2016-10,252,2016-10-01,291.0
2016-11,178,2016-11-01,234.33333333333334
2016-12,192,2016-12-01,207.33333333333334
2017-01,355,2017-01-01,241.66666666666666
2017-02,66,2017-02-01,204.33333333333334
2017-03,101,2017-03-01,174.0
2017-04,163,2017-04-01,110.0
2017-05,273,2017-05-01,179.0
2017-06,247,2017-06-01,227.66666666666666
2017-07,285,2017-07-01,268.3333333333333
2017-08,387,2017-08-01,306.3333333333333
2017-09,364,2017-09-01,345.3333333333333
2017-10,318,2017-10-01,356.3333333333333
2017-11,251,2017-11-01,311.0
2017-12,394,2017-12-01,321.0
2018-01,552,2018-01-01,399.0
2018-02,142,2018-02-01,362.6666666666667
2018-03,209,2018-03-01,301.0
2018-04,313,2018-04-01,221.33333333333334
2018-05,401,2018-05-01,307.6666666666667
2018-06,382,2018-06-01,365.3333333333333
2018-07,506,2018-07-01,429.6666666666667
2018-08,688,2018-08-01,525.3333333333334
2018-09,635,2018-09-01,609.6666666666666
2018-10,714,2018-10-01,679.0
2018-11,560,2018-11-01,636.3333333333334
2018-12,946,2018-12-01,740.0
2019-01,1440,2019-01-01,982.0
2019-02,470,2019-02-01,952.0
2019-03,820,2019-03-01,910.0
2019-04,1456,2019-04-01,915.3333333333334
2019-05,3695,2019-05-01,1990.3333333333333
2019-06,12596,2019-06-01,5915.666666666667
2019-07,4725,2019-07-01,7005.333333333333
